id,from,to,subject,body,url,url_obfuscated,label
6cacd32a,pougalhqxu@students.jru.edu,admin@jru.edu,Account Suspended: Action Required,Your payment could not be processed. Click the link to update your billing info.,https://account-verify.net/login/verify/update/confirm/dashboard/index,https:[slash][slash]account-verify[dot]net[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,1
f5c10745,nlqatwaxw@outlook.com,student@jru.edu,Payment Confirmation Failed,Please reset your password now to secure your data.,https://bankupdate.biz/login/verify/update/confirm/dashboard/index,https:[slash][slash]bankupdate[dot]biz[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,1
2c4a1af8,peulhtroekco@outlook.com,support@jru.edu,Invoice and Payment Received,Please be informed that your class schedule has been updated. Kindly check the official JRU portal for the latest details.,https://students.jru.edu/session/confirm/update/session,https:[slash][slash]students[dot]jru[dot]edu[slash]session[slash]confirm[slash]update[slash]session,0
3ee65271,kghubnondn@yahoo.com,faculty@jru.edu,Classroom Schedule Adjustment Notice,This is to acknowledge your successful payment. Attached in the system is your electronic receipt for reference.,https://jru.edu/update/update/login,https:[slash][slash]jru[dot]edu[slash]update[slash]update[slash]login,0
485f8a29,ojafhhenrz@gmail.com,admin@jru.edu,Urgent: Update Billing Information,"Our system shows an error with your billing profile. To avoid service interruption, update your payment details now.",https://account-verify.net/confirm/confirm/update,https:[slash][slash]account-verify[dot]net[slash]confirm[slash]confirm[slash]update,1
c2548f4d,vflao@jru.edu,admin@jru.edu,Welcome to Jose Rizal University,Thank you for attending today’s meeting. Please review the minutes attached.,https://google.com/login/verify/update/confirm/dashboard/index,https:[slash][slash]google[dot]com[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
cd56ba18,kfzhvbzlrc@jru.edu,faculty@jru.edu,Your JRU Portal Access Details,Your registration is now confirmed. You can access your portal anytime.,https://facebook.com/login/verify/update/confirm/dashboard/index,https:[slash][slash]facebook[dot]com[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
b588f40e,cndupqod@students.jru.edu,admin@jru.edu,Security Alert: Password Reset Needed,"Dear user, we noticed unusual activity. Please verify your account at the link below to avoid suspension.",https://bankupdate.biz/login/verify/update/confirm/dashboard/index,https:[slash][slash]bankupdate[dot]biz[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,1
c93e17ec,vcqqzcqahr@outlook.com,admin@jru.edu,Account Suspended: Action Required,"Dear user, we noticed unusual activity. Please verify your account at the link below to avoid suspension.",https://jru-login.com/login/verify/update/confirm/dashboard/index,https:[slash][slash]jru-login[dot]com[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,1
a057c84a,chivijfc@microsoft.com,student@jru.edu,Your JRU Portal Access Details,Good day! This is an official message from Jose Rizal University regarding your recent transactions and academic updates.,https://yahoo.com/update/session/update/session,https:[slash][slash]yahoo[dot]com[slash]update[slash]session[slash]update[slash]session,0
a42396ea,bxdmceq@gmail.com,faculty@jru.edu,Weekly Academic Update,Please see the attached course schedule and classroom assignment.,https://amazon.com/login/verify/update/confirm/dashboard/index,https:[slash][slash]amazon[dot]com[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
d14792cb,phhbucmrqzzf@gmail.com,support@jru.edu,Unusual Login Attempt Detected,Your mailbox has exceeded the storage limit. Log in through the link below to increase your storage and avoid losing important messages.,https://login-security-check.net/login/session/confirm/update,https:[slash][slash]login-security-check[dot]net[slash]login[slash]session[slash]confirm[slash]update,1
512677a5,ardrbobb@jru.edu,student@jru.edu,Classroom Schedule Adjustment Notice,Good day! This is an official message from Jose Rizal University regarding your recent transactions and academic updates.,https://yahoo.com/session/verify/update,https:[slash][slash]yahoo[dot]com[slash]session[slash]verify[slash]update,0
64341f24,tfapxrfzi@jru.edu,faculty@jru.edu,Payment Confirmation Failed,We have detected suspicious login attempts. Confirm your identity immediately.,https://jru-login.com/login/verify/update/confirm/dashboard/index,https:[slash][slash]jru-login[dot]com[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,1
287f455d,flhviuk@gmail.com,admin@jru.edu,Meeting Schedule Confirmation,"Hi po, ito po ang resibo para sa payment. Maraming salamat!",https://jru.edu/login/verify/update/confirm/dashboard/index,https:[slash][slash]jru[dot]edu[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
